feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria_elongata	Group	other	0.000945936377181211	0.00162881232957685	154	42	0.562267522168085	0.806018648239374
Neisseria_flavescens	Group	other	0.000732542432214774	0.00174825835322606	154	23	0.675798383223333	0.806018648239374
Parvimonas_micra	Group	other	0.00069006501342282	0.00167024892029171	154	24	0.680078234451972	0.806018648239374
Peptostreptococcus_stomatis	Group	other	0.000726877657718123	0.000731409927767944	154	62	0.321898024519486	0.806018648239374
Schaalia_odontolytica	Group	other	0.000833634046979867	0.00180784214911919	154	20	0.645370910246448	0.806018648239374
Selenomonas_sputigena	Group	other	0.000242381590604027	0.000389019699357314	154	28	0.534180546612182	0.806018648239374
Staphylococcus_epidermidis	Group	other	0.000177824073825504	0.000348729656683981	154	18	0.610847428708984	0.806018648239374
Staphylococcus_warneri	Group	other	0.00471962208053693	0.00763925730488396	154	46	0.537624041158167	0.806018648239374
Streptococcus_anginosus	Group	other	0.0125032359812081	0.0173675564785237	154	99	0.472680333671846	0.806018648239374
Streptococcus_australis	Group	other	0.0122867171906041	0.012168766444896	154	99	0.314247044869189	0.806018648239374
Streptococcus_constellatus	Group	other	0.00251168995167786	0.00485737807652459	154	64	0.605846626407508	0.806018648239374
Streptococcus_cristatus	Group	other	-0.0475972620523494	0.0617186955662588	154	139	0.44178745757431	0.806018648239374
Streptococcus_gordonii	Group	other	0.00269839128187921	0.00425349842052041	154	69	0.526777762716334	0.806018648239374
Streptococcus_intermedius	Group	other	0.000383721617449666	0.000730697682994736	154	47	0.60024813977937	0.806018648239374
Streptococcus_mitis	Group	other	0.00666304086442957	0.0081523632724097	154	123	0.41502823714478	0.806018648239374
Streptococcus_mutans	Group	other	0.0478550014483224	0.0395977501257654	154	151	0.228720847853812	0.806018648239374
Streptococcus_parasanguinis	Group	other	0.005980377261745	0.00560640606006761	154	131	0.287796748030608	0.806018648239374
Streptococcus_salivarius	Group	other	0.0497305176134231	0.0485570704694018	154	153	0.307383888443098	0.806018648239374
Streptococcus_sanguinis	Group	other	-0.000481233750335565	0.000364703238583499	154	63	0.188978908860061	0.806018648239374
Streptococcus_sobrinus	Group	other	-7.60044429530206e-05	8.35005283525955e-05	154	21	0.364143901591365	0.806018648239374
Tannerella_forsythia	Group	other	0.00352681161744969	0.00776514245369267	154	75	0.65034352646037	0.806018648239374
Treponema_denticola	Group	other	0.00963399466040277	0.0173101225395149	154	98	0.578651575741472	0.806018648239374
Veillonella_atypica	Group	other	0.000309982696644297	0.000666281658698923	154	66	0.642423495126584	0.806018648239374
Actinomyces_oris	Group	other	0.000979668559731548	0.00292328799655761	154	47	0.737992413940111	0.806845206258567
Fusobacterium_necrophorum	Group	other	-0.00331396427114094	0.00845360221341296	154	56	0.695594007324927	0.806845206258567
Lactococcus_lactis	Group	other	0.00716159044026842	0.0218736513988263	154	142	0.743810424519616	0.806845206258567
Neisseria_subflava	Group	other	0.000412725557046981	0.00125476339342072	154	20	0.742663624568647	0.806845206258567
Veillonella_parvula	Group	other	0.000798123273825506	0.0022220032076085	154	54	0.719950783591557	0.806845206258567
Lactobacillus_gasseri	Group	other	-0.00201972671409401	0.0070024910114483	154	133	0.773410746204951	0.824971462618614
Streptococcus_sinensis	Group	other	0.0016719553704698	0.00643194864907376	154	24	0.79525767599002	0.834368709235431
Schaalia_meyeri	Group	other	0.00360772342147656	0.0160068701396714	154	32	0.821981797030124	0.848497338869806
Prevotella_denticola	Group	other	4.92558953020146e-05	0.000434090930080262	154	21	0.909808411774815	0.92424981513632
Streptococcus_vestibularis	Group	other	0.000200784569127595	0.0110276225314759	154	109	0.985497260219406	0.985497260219406
