B,abT_.CD4.,abT_.CD8.,gd_T,MAIT,Mast,mDC,Monocyte,Neutrophil,NK,pDC,Plasma,Th17,Treg,PD_B,PD_abT_.CD4.,PD_abT_.CD8.,PD_gd_T,PD_MAIT,PD_Mast,PD_mDC,PD_Monocyte,PD_Neutrophil,PD_NK,PD_pDC,PD_Plasma,PD_Th17,PD_Treg,Epi_1,Epi_2,Epi_3,Mel,PD_Epi_1,PD_Epi_2,PD_Epi_3,PD_Mel,Epi_1.1,Epi_1.2,Epi_1.3,LEC,SMC,VEC_1.1,VEC_1.2,VEC_1.3,VEC_1.4,PD_LEC,PD_SMC,PD_VEC_1.1,PD_VEC_1.2,PD_VEC_1.3,PD_VEC_1.4,Fib_1.1,Fib_1.2,Fib_1.3,Fib_1.4,Fib_1.5,PD_Fib_1.1,PD_Fib_1.2,PD_Fib_1.3,PD_Fib_1.4,PD_Fib_1.5,Other,
7_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335897449,0,0,0,0,0,0,0.003463469,0,0,0,0,0.208063623,0,0,0,0,0,0,0,0,0,0,0.016065507,0,0,0.260554433,0,0.08402544,0,0,0,0,0,0,0.091930078,0,0,0,0
7_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601157326,0,0,0,0,0,0,0.019013017,0,0,0,0,0.114438371,0,0,0,0,0,0,0,0,0,0,0.011906136,0,0,0.067201949,0,0.065309017,0,0,0,0,0,0,0.120974184,0,0,0,0
7_progressing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64085378,0,0,0,0,0,0,0.001399382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045574209,0,0,0.124761219,0,0.103300296,0,0,0,0,0,0,0.084111114,0,0,0,0
7_progressing_4,0,0,0,0,0,0,0,0,0.006443625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2198872,0,0.003892918,0,0,0,0,0.015603413,0,0,0,0,0.006158715,0.119661643,0,0,0,0,0,0,0,0,0,0.059215966,0,0,0.381226006,0.11075116,0,0,0,0,0,0,0,0.077159353,0,0,0,0
7_progressing_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018140388,0,0,0,0,0,0,0,0.108170887,0,0.024208519,0,0.117983497,0,0,0.026022394,0,0,0,0,0.033944196,0.153429186,0.013450283,0,0,0,0,0,0,0,0,0.030750237,0,0,0.376935985,0.022513273,0,0,0,0,0,0,0,0.066462404,0,0,0,0.007988752
7_progressing_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120693877,0,0,0,0,0,0,0.015119023,0,0,0,0,0.033633369,0,0,0,0,0,0,0,0,0,0,0.036651541,0,0,0.615575536,0,0,0,0,0,0,0,0,0.178326654,0,0,0,0
7_progressing_10,0,0,0,0,0,0,0,0,0.120741738,0,0,0,0,0,0.005438438,0,0,0,0,0,0,0,0.164007609,0,0.056776663,0.013304703,0.018453585,0,0,0.02051872,0,0,0,0.032719321,0.078323168,0.104929309,0,0,0,0,0,0,0,0,0,0.004262996,0,0,0.288327644,0,0,0,0,0,0,0,0,0.092196108,0,0,0,0
7_progressing_12,0.005837317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04721593,0.026223188,0,0,0,0,0,0,0.008691757,0,0.004204307,0,0,0,0,0,0,0,0,0,0,0.221788238,0.085087643,0,0,0,0,0,0,0,0,0.076645127,0,0,0.232458387,0,0,0,0,0,0,0,0,0.11046841,0,0,0,0.181379697
11_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001727968,0.001507608,0.011058093,0,0.018426953,0,0,0,0,0.155223674,0,0,0,0.148405537,0.219712832,0.03176135,0,0,0.298803595,0,0,0,0,0,0,0.003613668,0,0,0.092400436,0,0,0,0,0,0,0,0,0.017358287,0,0,0,0
11_stable_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063120224,0,0,0,0,0,0.018595392,0.012294347,0.027806664,0,0.047453533,0,0.163874152,0,0,0.01478919,0,0,0,0.037986276,0.057206341,0.069776594,0.022970116,0,0.132539983,0,0,0,0,0,0,0.007939499,0,0,0.252104348,0,0,0,0,0,0,0,0,0.07154334,0,0,0,0
11_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014845596,0,0.000796375,0,0,0,0,0.007673898,0.02367966,0.000365494,0.025823116,0,0.036697853,0,0,0.00289189,0.036433856,0,0,0.074483841,0.200689663,0.073447114,0,0,0.197541886,0,0,0,0,0,0,0,0,0,0.289538973,0,0,0,0,0,0,0,0,0.015090787,0,0,0,0
11_stable_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021992828,0,0,0,0,0,0,0.020903137,0.077763936,0,0.021669256,0,0.066151421,0,0,0.101439627,0,0,0,0.072353574,0.232336931,0.039139977,0,0,0.022500517,0,0,0,0,0,0,0.003225444,0,0,0.298653443,0,0,0,0,0,0,0,0,0.021869911,0,0,0,0
11_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009244453,0,0,0,0,0,0.038447053,0,0.056633579,0,0.038874322,0,0.041125941,0,0,0.045669454,0,0,0,0.042065131,0.171513315,0.061465743,0.037723747,0,0.219310851,0,0,0,0,0,0,0.003873475,0,0,0.211590634,0,0,0,0,0,0,0,0,0.022462301,0,0,0,0
11_stable_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105908,0,0,0,0,0,0.002941698,0.016541054,0.059732519,0,0.030554767,0,0.144074642,0,0,0.086838346,0.049267228,0,0,0.134604343,0.097501035,0.078563313,0,0,0.011416763,0,0,0,0,0,0,0,0,0,0.25919726,0,0,0,0,0,0,0,0,0.01817623,0,0,0,0
11_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07563578,0,0,0,0,0,0,0.118826926,0,0,0,0.028994786,0.020088759,0.082388406,0,0,0.000440554,0,0,0,0,0,0,0.000796664,0,0,0.614751655,0,0,0,0,0,0,0,0,0.05807647,0,0,0,0
11_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10624158,0,0,0,0,0,0,0.089370065,0,0,0,0,0.115487773,0,0,0,0,0,0,0,0,0,0,0.007664747,0,0,0.547292988,0,0.023167508,0,0,0,0,0,0,0.110775339,0,0,0,0
11_progressing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045169458,0.152054502,0,0.031939791,0,0.063345216,0,0,0.009202706,0.020096248,0,0,0.009783272,0.182839783,0.077697842,0,0,0,0,0,0,0,0,0,0.008709162,0,0,0.360323068,0,0,0,0,0,0,0,0,0.038838951,0,0,0,0
11_progressing_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187714563,0,0,0,0,0,0,0.017219989,0.057406582,0,0,0,0.011043531,0,0,0,0,0,0,0,0,0,0,0.030607289,0,0,0.583067466,0,0,0,0,0,0,0,0,0.11294058,0,0,0,0
11_progressing_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092420446,0,0,0,0,0,0,0.195735212,0,0,0,0,0.083184451,0,0,0,0,0,0,0,0,0,0,0.018503155,0,0,0.526366316,0,0,0,0,0,0,0,0,0.083790421,0,0,0,0
11_progressing_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112036171,0,0,0,0,0,0,0.014179323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067817981,0,0,0.519855479,0,0,0,0,0,0,0,0,0.286111046,0,0,0,0
11_progressing_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121762298,0,0.003727548,0,0,0,0,0.089088719,0.023543411,0,0,0,0.135108223,0.055056066,0,0,0,0,0,0,0,0,0,0.020654014,0,0,0.496818602,0,0,0,0,0,0,0,0,0.054241119,0,0,0,0
11_progressing_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120253227,0,0,0,0,0,0,0,0.087703423,0,0,0,0.143961211,0.018814949,0,0,0,0,0,0,0,0,0,0.000209323,0,0,0.558347996,0,0,0,0,0,0,0,0,0.07070987,0,0,0,0
8_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101204377,0,0,0.021382197,0,0,0,0.027319771,0,0,0,0,0.133082326,0,0,0,0,0,0,0,0,0,0,0.030391878,0,0,0.591922035,0,0,0,0,0,0,0,0,0.094697414,0,0,0,0
8_stable_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123012392,0,0,0,0,0,0,0.030325661,0,0,0,0,0.221924224,0.071647927,0,0,0,0,0,0,0,0,0,0,0,0,0.499367408,0,0,0,0,0,0,0,0,0.053722388,0,0,0,0
8_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019308638,0,0,0.033645349,0,0,0,0.019608887,0,0,0,0,0.014379313,0.019608794,0,0,0,0,0,0,0,0,0,0.036979554,0,0,0.694117879,0,0,0,0,0,0,0,0,0.162351587,0,0,0,0
8_stable_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085981016,0,0.014564924,0,0,0,0.048332548,0.025226175,0.015313851,0,0.080083501,0,0.164718756,0,0,0,0,0,0,0,0.026372412,0.107901411,0,0,0,0,0,0,0,0,0,0.015989486,0,0,0.348906036,0,0,0,0,0,0,0,0,0.066609885,0,0,0,0
8_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018558641,0,0,0,0,0.079294865,0.107957065,0,0.092578028,0,0.062094888,0,0,0,0,0,0,0.034669808,0.009077364,0.099517687,0,0,0,0,0,0,0,0,0,0.034230607,0,0,0.406172123,0,0,0,0,0,0,0,0,0.055848924,0,0,0,0
8_stable_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392147958,0,0,0,0,0,0,0.018976592,0,0,0,0,0.021594284,0.066795582,0,0,0,0,0,0,0,0,0,0.043016208,0,0,0.275534044,0.044758207,0.050133328,0,0,0,0,0,0,0.087043797,0,0,0,0
8_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007262561,0,0,0,0,0.011796902,0,0,0,0,0,0,0,0,0,0,0.071836705,0,0,0.739002195,0,0,0,0,0,0,0,0,0.170101637,0,0,0,0
8_progressing_0,0,0,0,0,0,0,0,0,0.062436595,0,0,0,0,0,0.008928314,0,0,0,0,0,0,0.05607855,0.090844902,0,0.087160514,0.076908722,0.029547522,0,0,0.078566993,0,0,0,0.070613678,0.17808166,0.040013267,0,0,0,0,0,0,0,0,0,0.016725471,0,0,0.190336761,0,0,0,0,0,0,0,0,0.013757049,0,0,0,0
8_progressing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016265885,0,0,0,0,0.020889054,0.02671272,0,0.013294579,0,0.038621447,0,0,0.667619518,0,0,0,0.102720918,0.000711238,0.011420855,0,0,0,0,0,0,0,0,0,0,0,0,0.098686269,0,0,0,0,0,0,0,0,0.003057515,0,0,0,0
8_progressing_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079124249,0,0.045756135,0,0.100747905,0,0,0.001887334,0,0,0,0.012577064,0.069345537,0.122142214,0,0,0,0,0,0,0,0,0,0.010764493,0,0,0.501639573,0,0,0,0,0,0,0,0,0.056015496,0,0,0,0
8_progressing_6,0.026294261,0,0,0,0,0,0,0,0.073907766,0,0,0,0,0,0.175403146,0,0.00666424,0,0,0,0.034305027,0.009410865,0.12121788,0,0.068585141,0,0.142941472,0,0,0,0,0,0,0,0.01961418,0.063163865,0,0,0,0,0,0,0,0,0,0,0,0,0.233149066,0,0,0,0,0,0,0,0,0.025343092,0,0,0,0
8_progressing_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04147731,0,0.014963292,0,0,0,0,0,0.122393424,0,0.040517619,0,0.193623955,0,0,0,0,0,0,0,0.049812336,0.073917257,0,0,0,0,0,0,0,0,0,0.022009223,0,0,0.371694866,0,0,0,0,0,0,0,0,0.069590716,0,0,0,0
8_progressing_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040525713,0,0,0,0,0.007646829,0.221442271,0.003679905,0.050141246,0,0.03573163,0,0,0.095817992,0,0,0,0.153745105,0.050380565,0.041574377,0,0,0,0,0,0,0,0,0,0.002027739,0,0,0.280058257,0,0,0,0,0,0,0,0,0.017228372,0,0,0,0
8_progressing_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040579664,0,0,0,0,0,0,0.067799731,0,0,0,0,0.228365293,0.03997961,0,0,0,0,0,0,0,0,0,0.019753217,0,0,0.503211711,0,0,0,0,0,0,0,0,0.100310774,0,0,0,0
9_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065441203,0,0,0,0.075308291,0,0,0.027105202,0,0,0,0.009907782,0.193549214,0.102019565,0,0,0.019897916,0,0,0,0,0,0,0.015386485,0,0,0.439400575,0,0,0,0,0,0,0,0,0.051983766,0,0,0,0
9_stable_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008861609,0,0,0,0,0.051083325,0.093293681,0,0.020531559,0,0.037373191,0,0,0.009638839,0,0,0,0.069212624,0.187626495,0.050966548,0,0,0,0,0,0,0,0,0,0.016464203,0,0,0.394976328,0,0,0,0,0,0,0,0,0.059971598,0,0,0,0
9_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130403327,0,0.044295243,0,0,0,0,0.000361363,0,0,0,0.031070619,0.141130875,0.099917016,0,0,0.108554434,0,0,0,0,0,0,0.029146869,0,0,0.384533998,0,0,0,0,0,0,0,0,0.030586256,0,0,0,0
9_stable_6,0,0,0,0,0,0,0,0,0,0,0,0.00410355,0,0,0.109835756,0,0,0,0,0,0.013296603,0.046320123,0.110678269,0,0.027406462,0,0.124228452,0,0,0.066861386,0,0,0,0.001108738,0.12723103,0.06928437,0,0,0.038434016,0,0,0,0,0,0,0.001081159,0,0,0.239390379,0,0,0,0,0,0,0,0,0.020739707,0,0,0,0
9_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092553892,0,0,0,0,0,0,0.01725336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016104644,0,0,0.673789104,0,0,0,0,0,0,0,0,0.200299001,0,0,0,0
9_stable_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100820271,0,0.022290155,0,0.017476681,0,0,0.040872582,0.205490198,0,0,0,0.274756606,0.039326384,0,0,0,0,0,0,0,0,0,0,0,0,0.249612612,0,0,0,0,0,0,0,0,0.04935451,0,0,0,0
9_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133889693,0,0,0,0,0,0,0.016165213,0,0,0,0,0.05613657,0,0,0,0,0,0,0,0,0,0,0.067601878,0,0,0.362971215,0,0.148624293,0,0,0,0,0,0,0.214611138,0,0,0,0
9_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102694,0,0,0,0,0,0.006002145,0,0.002627258,0,0.00799967,0,0.001157633,0,0,0,0,0,0,0.038065479,0.239921519,0.050172918,0.1590738,0,0.393906413,0,0,0,0,0,0,0,0,0,0.099050421,0,0,0,0,0,0,0,0,0.001920051,0,0,0,0
9_progressing_2,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,0,0,0,0.003680144,0,0.003091167,0,0.010362114,0.001354075,7.19E-05,0,0,0.0039341,0.037456989,0,0,0.00844136,0.417708938,0.02096756,0.042431996,0,0.388712815,0,0,0,0,0,0,0,0,0,0.059549705,0,0,0,0,0,0,0,0,0.002219303,0,0,0,0
